title,startDate,endDate,season,seasonYear,tags,format,status,episodes,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Cowboy Bebop,4-1998,4-1999,SPRING,1998.0,"['Space', 'Crime', 'Episodic', 'Ensemble Cast', 'Primarily Adult Cast', 'Noir', 'Tragedy', 'Guns', 'Male Protagonist', 'Cyberpunk', 'Travel', 'Philosophy', 'Tomboy', 'Martial Arts', 'Anti-Hero', 'Terrorism', 'Amnesia', 'Cyborg', 'Gambling', 'Yakuza', 'Drugs', 'Cult', 'Police', 'Tanned Skin', 'Nudity', 'Found Family', 'Circus']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",339045,86.0,JP,ORIGINAL,Sunrise,46.0
Cowboy Bebop: The Movie - Knockin' on Heaven's Door,9-2001,9-2001,SUMMER,2001.0,"['Terrorism', 'Primarily Adult Cast', 'Crime', 'Philosophy', 'Male Protagonist', 'Space', 'Noir', 'Martial Arts', 'Guns', 'Anti-Hero', 'Amnesia', 'Ensemble Cast', 'Cyberpunk', 'Military', 'Tomboy', 'Foreign', 'Work', 'Cyborg']",MOVIE,FINISHED,1.0,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",63194,82.0,JP,ORIGINAL,bones,44.0
Trigun,4-1998,9-1998,SPRING,1998.0,"['Guns', 'Fugitive', 'Male Protagonist', 'Primarily Adult Cast', 'Philosophy', 'Incest', 'Crime', 'Tragedy', 'Travel', 'Shounen', 'Episodic', 'Desert', 'Twins', 'Steampunk', 'Post-Apocalyptic', 'Aliens', 'Space', 'Slapstick', 'Religion', 'Body Horror']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",120520,79.0,JP,MANGA,MADHOUSE,279.0
Witch Hunter ROBIN,7-2002,12-2002,SUMMER,2002.0,"['Female Protagonist', 'Police', 'Magic', 'Urban Fantasy', 'Conspiracy', 'Fugitive', 'Noir', 'Witch', 'Primarily Adult Cast', 'Kuudere']",TV,FINISHED,26.0,"['Action', 'Drama', 'Mystery', 'Supernatural']",16120,67.0,JP,ORIGINAL,Sunrise,24.0
Beet the Vandel Buster,9-2004,9-2005,FALL,2004.0,['Shounen'],TV,FINISHED,52.0,"['Adventure', 'Fantasy', 'Supernatural']",2238,62.0,JP,MANGA,Toei Animation,61.0
Eyeshield 21,4-2005,3-2008,SPRING,2005.0,"['American Football', 'Shounen', 'Male Protagonist', 'School', 'Primarily Male Cast', 'School Club', 'Coming of Age', 'Bullying', 'Slapstick', 'Delinquents', 'Tragedy']",TV,FINISHED,145.0,"['Action', 'Comedy', 'Sports']",26279,75.0,JP,MANGA,Studio Gallop,9.0
Honey and Clover,4-2005,9-2005,SPRING,2005.0,"['Coming of Age', 'Josei', 'Male Protagonist', 'College', 'Primarily Adult Cast', 'Love Triangle', 'Heterosexual', 'Primarily Male Cast', 'Drawing', 'Chibi', 'Kuudere']",TV,FINISHED,24.0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",46265,76.0,JP,MANGA,J.C. Staff,8.0
Hungry Heart: Wild Striker,9-2002,9-2003,FALL,2002.0,"['Football', 'Shounen', 'School Club', 'Primarily Male Cast']",TV,FINISHED,52.0,"['Comedy', 'Slice of Life', 'Sports']",3700,70.0,JP,MANGA,Nippon Animation,15.0
Initial D 4th Stage,4-2004,2-2006,SPRING,2004.0,"['Cars', 'Seinen', 'CGI', 'Primarily Adult Cast', 'Rural', 'Heterosexual', 'Male Protagonist', 'Primarily Male Cast', 'Rape']",TV,FINISHED,24.0,"['Action', 'Drama', 'Sports']",34512,79.0,JP,MANGA,OB Planning,268.0
Monster,4-2004,9-2005,SPRING,2004.0,"['Crime', 'Seinen', 'Detective', 'Ensemble Cast', 'Philosophy', 'Fugitive', 'Revenge', 'Primarily Adult Cast', 'Noir', 'Conspiracy', 'Memory Manipulation', 'Tragedy', 'Twins', 'Adoption', 'Police', 'Politics', 'Foreign', 'Amnesia', 'Male Protagonist', 'Dissociative Identities', 'Medicine', 'Historical', 'Travel', 'Time Skip', 'Suicide', 'Orphan', 'Guns', 'Torture', 'Female Protagonist', 'Crossdressing', 'Episodic', 'Gore', 'Nudity', 'Rape']",TV,FINISHED,74.0,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']",216764,88.0,JP,MANGA,MADHOUSE,18.0
Naruto,10-2002,2-2007,FALL,2002.0,"['Ninja', 'Shounen', 'Coming of Age', 'Male Protagonist', 'Found Family', 'Super Power', 'Cultivation', 'Martial Arts', 'Revenge', 'Anachronism', 'Heterosexual', 'Primarily Child Cast', 'Tragedy', 'Bullying', 'Shapeshifting', 'Orphan', 'Kaiju', 'Ensemble Cast', 'Travel', 'Demons', 'Femboy', 'Unrequited Love', 'Slapstick', 'Gender Bending', 'School', 'Assassins', 'Nudity', 'Love Triangle', 'Estranged Family']",TV,FINISHED,220.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",519209,79.0,JP,MANGA,Studio Pierrot,280.0
ONE PIECE,10-1999,Ongoing,FALL,1999.0,"['Pirates', 'Shounen', 'Ensemble Cast', 'Travel', 'Super Power', 'Tragedy', 'Found Family', 'Male Protagonist', 'Slapstick', 'Conspiracy', 'Ships', 'Time Skip', 'Slavery', 'Fugitive', 'Politics', 'War', 'Crime', 'Dystopian', 'Gods', 'Monster Boy', 'Lost Civilization', 'Swordplay', 'Medicine', 'Samurai', 'Prison', 'Food', 'Henshin', 'Shapeshifting', 'Robots', 'Desert', 'Primarily Adult Cast', 'Cyborg', 'Artificial Intelligence', 'Animals', 'Guns', 'Anti-Hero', 'Coming of Age', 'Trains', 'Skeleton', 'Anachronism', 'Dragons', 'Monster Girl', 'Fairy', 'Marriage', 'Post-Apocalyptic', 'Espionage', 'Drugs', 'Assassins', 'Clone', 'Kuudere', 'Asexual', 'Ninja', 'Adoption', 'Angels', 'Mermaid', 'Female Harem', 'Gender Bending', 'Battle Royale', 'CGI', 'Time Manipulation', 'Musical', 'Body Swapping', 'Unrequited Love', 'LGBTQ+ Themes', 'Zombie', 'Revenge', 'Achromatic', 'Acting', 'Female Protagonist']",TV,RELEASING,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",500933,88.0,JP,MANGA,Toei Animation,21.0
The Prince of Tennis,10-2001,3-2005,FALL,2001.0,"['Tennis', 'Male Protagonist', 'Primarily Male Cast', 'School Club', 'Shounen', 'Anti-Hero', 'School', 'Super Power', 'Foreign', 'Primarily Child Cast', 'Bullying']",TV,FINISHED,178.0,"['Action', 'Comedy', 'Sports']",27524,74.0,JP,MANGA,Production I.G,3.0
Ring ni Kakero 1,10-2004,12-2004,FALL,2004.0,"['Boxing', 'Super Power', 'Male Protagonist', 'Cultivation', 'Shounen', 'Delinquents', 'Primarily Male Cast']",TV,FINISHED,12.0,"['Action', 'Sports']",1186,54.0,JP,MANGA,Toei Animation,89.0
School Rumble,10-2004,3-2005,FALL,2004.0,"['Ensemble Cast', 'Love Triangle', 'School', 'Delinquents', 'Tsundere', 'Primarily Teen Cast', 'Heterosexual', 'Parody', 'Episodic', 'Kuudere', 'Shounen', 'Butler', 'Super Power']",TV,FINISHED,26.0,"['Comedy', 'Romance', 'Slice of Life']",46317,75.0,JP,MANGA,TV Tokyo,10.0
Desert Punk,10-2004,3-2005,FALL,2004.0,"['Post-Apocalyptic', 'Slapstick', 'Anti-Hero', 'Guns', 'Survival', 'Desert', 'Artificial Intelligence', 'Terrorism', 'Shounen', 'Gangs', 'War', 'Military', 'Slavery', 'Lost Civilization']",TV,FINISHED,24.0,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi']",21499,68.0,JP,MANGA,GONZO,36.0
Texhnolyze,4-2003,9-2003,SPRING,2003.0,"['Dystopian', 'Cyberpunk', 'Philosophy', 'Tragedy', 'Primarily Adult Cast', 'Survival', 'Urban', 'Noir', 'Mafia', 'Post-Apocalyptic', 'Denpa', 'Gangs', 'Disability', 'Male Protagonist', 'Primarily Male Cast', 'Crime', 'Cyborg', 'Terrorism', 'Guns', 'Amputation', 'Gore', 'Lost Civilization', 'Female Protagonist', 'War', 'Suicide', 'Cult', 'Conspiracy', 'Afterlife', 'Heterosexual', 'Rape', 'Drugs', 'Boxing']",TV,FINISHED,22.0,"['Action', 'Drama', 'Psychological', 'Sci-Fi']",58053,76.0,JP,ORIGINAL,MADHOUSE,486.0
Trinity Blood,4-2005,10-2005,SPRING,2005.0,"['Vampire', 'Male Protagonist', 'Gore', 'Guns', 'Nun', 'Anachronism', 'Artificial Intelligence', 'Robots', 'Foreign', 'Shoujo', 'Religion']",TV,FINISHED,24.0,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural']",20422,67.0,JP,LIGHT_NOVEL,GONZO,40.0
Yakitate!! Japan,10-2004,3-2006,FALL,2004.0,"['Food', 'Meta', 'Surreal Comedy', 'Parody', 'Shounen', 'Male Protagonist', 'Ensemble Cast', 'Time Manipulation', 'Isekai', 'Educational', 'Magic']",TV,FINISHED,69.0,['Comedy'],15561,75.0,JP,MANGA,Sunrise,11.0
Zipang,10-2004,3-2005,FALL,2004.0,"['Military', 'Primarily Adult Cast', 'Ships', 'Seinen', 'Historical', 'War', 'Time Manipulation', 'Primarily Male Cast', 'Tragedy', 'Travel', 'Anachronism']",TV,FINISHED,26.0,"['Action', 'Sci-Fi']",4781,71.0,JP,MANGA,NBCUniversal Entertainment Japan,17.0
Neon Genesis Evangelion,10-1995,3-1996,FALL,1995.0,"['Philosophy', 'Tragedy', 'Coming of Age', 'Dystopian', 'Denpa', 'Angels', 'Post-Apocalyptic', 'Super Robot', 'Suicide', 'Primarily Teen Cast', 'Conspiracy', 'Aliens', 'Body Horror', 'Kaiju', 'Male Protagonist', 'Mythology', 'Anti-Hero', 'Military', 'Clone', 'Religion', 'Real Robot', 'Tokusatsu', 'Tsundere', 'Kuudere', 'Politics', 'Bisexual', 'Trains', 'Gore', ""Boys' Love"", 'Espionage', 'Nudity', 'Episodic']",TV,FINISHED,26.0,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']",341004,83.0,JP,ORIGINAL,Gainax,117.0
Neon Genesis Evangelion: Death & Rebirth,3-1997,3-1997,WINTER,1997.0,"['Tragedy', 'Achronological Order', 'Primarily Teen Cast', 'Super Robot', 'Dystopian', 'Military', 'Male Protagonist', 'Coming of Age', 'Philosophy', 'Post-Apocalyptic', 'Denpa', 'Kaiju', 'Conspiracy', 'Cultivation', 'Politics', 'Gore', 'Real Robot', 'Tsundere', 'Nudity', 'Kuudere']",MOVIE,FINISHED,1.0,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",46735,72.0,JP,ORIGINAL,Gainax,113.0
Neon Genesis Evangelion: The End of Evangelion,7-1997,7-1997,SUMMER,1997.0,"['Philosophy', 'Tragedy', 'Dystopian', 'Coming of Age', 'Post-Apocalyptic', 'Denpa', 'Meta', 'Gods', 'Body Horror', 'Conspiracy', 'Male Protagonist', 'Super Robot', 'Gore', 'Afterlife', 'Mythology', 'Female Protagonist', 'Robots', 'Kaiju', 'Religion', 'Nudity', 'Masturbation', 'Primarily Teen Cast', 'Tsundere', 'Politics', 'Clone', 'Space']",MOVIE,FINISHED,1.0,"['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']",176665,85.0,JP,ORIGINAL,Gainax,14.0
Berserk,10-1997,3-1998,FALL,1997.0,"['Tragedy', 'Seinen', 'Swordplay', 'War', 'Cosmic Horror', 'Male Protagonist', 'Gore', 'Military', 'Anti-Hero', 'Philosophy', 'Primarily Adult Cast', 'Demons', 'Found Family', 'Revenge', 'Politics', 'Heterosexual', 'Rape', 'Love Triangle', 'Coming of Age', 'Primarily Male Cast', 'Nudity', 'Tomboy', 'Archery', 'Fugitive', 'Travel', 'Tanned Skin', 'Skeleton']",TV,FINISHED,25.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']",113339,83.0,JP,MANGA,OLM,98.0
Ghost in the Shell,11-1995,11-1995,FALL,1995.0,"['Cyberpunk', 'Artificial Intelligence', 'Philosophy', 'Urban', 'Police', 'Robots', 'Cyborg', 'Seinen', 'Female Protagonist', 'Primarily Adult Cast', 'Noir', 'Dystopian', 'Guns', 'Crime', 'Espionage', 'Nudity', 'Gore', 'CGI']",MOVIE,FINISHED,1.0,"['Action', 'Psychological', 'Sci-Fi']",119582,80.0,JP,MANGA,Production I.G,83.0
Samurai X: Trust and Betrayal,2-1999,9-1999,WINTER,1999.0,"['Samurai', 'Revenge', 'Tragedy', 'Historical', 'Philosophy', 'Male Protagonist', 'Swordplay', 'Heterosexual', 'Gore', 'Primarily Adult Cast', 'Shounen']",OVA,FINISHED,4.0,"['Action', 'Drama', 'Romance']",37325,85.0,JP,MANGA,Studio DEEN,2.0
Rurouni Kenshin,1-1996,9-1998,WINTER,1996.0,"['Swordplay', 'Martial Arts', 'Samurai', 'Historical', 'Heterosexual', 'Shounen', 'Male Protagonist', 'Cultivation', 'Tsundere', 'Politics', 'Travel']",TV,FINISHED,94.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",69557,79.0,JP,MANGA,Studio Gallop,318.0
Samurai X: The Motion Picture,12-1997,12-1997,FALL,1997.0,"['Swordplay', 'Historical', 'Samurai', 'Shounen', 'Male Protagonist', 'Martial Arts', 'Revenge']",MOVIE,FINISHED,1.0,"['Action', 'Drama']",7022,70.0,JP,MANGA,Studio DEEN,6.0
Akira,7-1988,7-1988,SUMMER,1988.0,"['Cyberpunk', 'Post-Apocalyptic', 'Dystopian', 'Super Power', 'Male Protagonist', 'Tragedy', 'Urban', 'Body Horror', 'Motorcycles', 'Seinen', 'Anti-Hero', 'Gangs', 'Gore', 'Military', 'Delinquents', 'Philosophy', 'Conspiracy', 'Primarily Male Cast', 'Crime', 'Urban Fantasy', 'Politics', 'Nudity', 'Mythology', 'Aliens']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Horror', 'Psychological', 'Sci-Fi', 'Supernatural']",163607,79.0,JP,MANGA,Tokyo Movie Shinsha,111.0
.hack//Sign,4-2002,9-2002,SPRING,2002.0,"['Virtual World', 'Video Games', 'Anti-Hero', 'Isekai', 'Magic', 'Amnesia', 'Gender Bending', 'Dissociative Identities', 'Tanned Skin', 'Female Protagonist', 'Super Power', 'Ensemble Cast', 'LGBTQ+ Themes', 'Tragedy', 'CGI', 'Dungeon']",TV,FINISHED,26.0,"['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']",26415,65.0,JP,ORIGINAL,Bee Train,37.0
Oh! My Goddess,2-1993,5-1994,WINTER,1993.0,"['Gods', 'Heterosexual', 'Urban Fantasy', 'Primarily Female Cast', 'Magic', 'College', 'Seinen', 'Male Protagonist', 'Kuudere', 'Motorcycles']",OVA,FINISHED,5.0,"['Comedy', 'Drama', 'Romance', 'Supernatural']",8518,68.0,JP,MANGA,Bandai Visual,6.0
Oh! My Goddess (TV),1-2005,7-2005,WINTER,2005.0,"['Magic', 'Primarily Female Cast', 'Male Protagonist', 'Gods', 'Seinen', 'Primarily Adult Cast', 'Urban Fantasy', 'Female Harem', 'College', 'Kuudere', 'Demons', 'Heterosexual']",TV,FINISHED,24.0,"['Comedy', 'Romance', 'Supernatural']",19330,69.0,JP,MANGA,Bandai Visual,28.0
Angel Sanctuary,5-2000,8-2000,SPRING,2000.0,"['Shoujo', 'Angels', 'Incest', 'Demons', 'Reincarnation']",OVA,FINISHED,3.0,"['Action', 'Drama', 'Ecchi', 'Romance', 'Supernatural']",5417,54.0,JP,MANGA,Bandai Visual,16.0
Angelic Layer,4-2001,9-2001,SPRING,2001.0,"['Robots', 'Female Protagonist', 'Shounen', 'Primarily Female Cast', 'Disability', 'Primarily Child Cast']",TV,FINISHED,26.0,"['Comedy', 'Drama', 'Sci-Fi', 'Sports']",8414,69.0,JP,MANGA,bones,15.0
Ai Yori Aoshi,4-2002,9-2002,SPRING,2002.0,"['Female Harem', 'Seinen', 'Male Protagonist', 'Heterosexual', 'Primarily Adult Cast', 'School', 'Nudity', 'Love Triangle', 'Time Skip', 'College']",TV,FINISHED,24.0,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",13728,66.0,JP,MANGA,J.C. Staff,31.0
Appleseed (Movie),4-2004,4-2004,SPRING,2004.0,"['Full CGI', 'Military', 'Artificial Intelligence', 'Female Protagonist', 'Tomboy', 'Primarily Adult Cast', 'Post-Apocalyptic', 'Guns', 'Urban', 'Shounen', 'Cyberpunk', 'Robots', 'War', 'Dystopian', 'Gore', 'Tragedy', 'Terrorism']",MOVIE,FINISHED,1.0,"['Action', 'Drama', 'Mecha', 'Sci-Fi']",8453,65.0,JP,MANGA,NBCUniversal Entertainment Japan,17.0
Arc the Lad,4-1999,9-1999,SPRING,1999.0,"['Revenge', 'Male Protagonist', 'Magic', 'Gore', 'Military', 'Body Horror', 'Nudity', 'Chimera', 'Conspiracy']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",2207,59.0,JP,VIDEO_GAME,Bee Train,38.0
Avenger,10-2003,12-2003,FALL,2003.0,"['Female Protagonist', 'Revenge', 'Post-Apocalyptic', 'Robots', 'Kuudere']",TV,FINISHED,13.0,"['Adventure', 'Fantasy', 'Sci-Fi']",2621,52.0,JP,ORIGINAL,Bee Train,75.0
Beck: Mongolian Chop Squad,10-2004,3-2005,FALL,2004.0,"['Band', 'Coming of Age', 'Urban', 'Primarily Male Cast', 'Male Protagonist', 'School', 'Bullying', 'Female Protagonist', 'Gyaru', 'Love Triangle', 'Baseball', 'Swimming']",TV,FINISHED,26.0,"['Comedy', 'Drama', 'Music', 'Slice of Life']",59120,80.0,JP,MANGA,MADHOUSE,250.0
Blue Gender,10-1999,3-2000,FALL,1999.0,"['Dystopian', 'Kuudere', 'Tomboy', 'Survival', 'Military', 'Male Protagonist', 'Primarily Adult Cast', 'Post-Apocalyptic', 'Real Robot', 'Aliens', 'Travel', 'Space', 'Gore']",TV,FINISHED,26.0,"['Adventure', 'Drama', 'Horror', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi']",11945,65.0,JP,ORIGINAL,AIC,20.0
Chobits,4-2002,9-2002,SPRING,2002.0,"['Artificial Intelligence', 'Philosophy', 'Amnesia', 'Robots', 'Seinen', 'Memory Manipulation', 'Dissociative Identities', 'Nudity', 'Twins', 'Slapstick', 'Henshin', 'Asexual', 'Age Gap']",TV,FINISHED,26.0,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Sci-Fi']",66010,70.0,JP,MANGA,MADHOUSE,13.0
Chrono Crusade,11-2003,6-2004,FALL,2003.0,"['Demons', 'Nun', 'Tragedy', 'Foreign', 'Religion', 'Historical', 'Shounen', 'Female Protagonist', 'Cult', 'Angels']",TV,FINISHED,24.0,"['Action', 'Romance', 'Supernatural']",25912,71.0,JP,MANGA,GONZO,17.0
D.N.Angel,4-2003,9-2003,SPRING,2003.0,"['Magic', 'Dissociative Identities', 'Male Protagonist', 'School', 'Crime', 'Twins', 'Shoujo', 'Foreign', 'Heterosexual', 'Love Triangle']",TV,FINISHED,26.0,"['Action', 'Comedy', 'Fantasy', 'Romance']",18247,66.0,JP,MANGA,Xebec,31.0
D.C.~Da Capo~,7-2003,12-2003,SUMMER,2003.0,"['Female Harem', 'Male Protagonist', 'Primarily Female Cast', 'Tsundere', 'School', 'Coming of Age', 'Amnesia', 'Magic', 'Nekomimi', 'Heterosexual']",TV,FINISHED,26.0,"['Drama', 'Romance']",10817,61.0,JP,VISUAL_NOVEL,feel.,44.0
DearS,7-2004,9-2004,SUMMER,2004.0,"['Slavery', 'Female Harem', 'Aliens', 'Male Protagonist', 'Shounen', 'Kuudere']",TV,FINISHED,12.0,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",18016,59.0,JP,MANGA,Bandai Visual,75.0
Rozen Maiden,10-2004,12-2004,FALL,2004.0,"['Battle Royale', 'Magic', 'Primarily Female Cast', 'Urban Fantasy', 'Seinen', 'Found Family', 'Ojou-sama', 'Urban', 'Anthropomorphism', 'Hikikomori', 'Rehabilitation', 'Family Life', 'Kuudere', 'Bullying', 'Male Protagonist', 'Tsundere', 'Super Power']",TV,FINISHED,12.0,"['Action', 'Comedy', 'Drama', 'Supernatural']",28820,69.0,JP,MANGA,Nomad,26.0
Rozen Maiden: Dreaming,10-2005,1-2006,FALL,2005.0,"['Battle Royale', 'Magic', 'Male Protagonist', 'Family Life', 'Urban Fantasy', 'Seinen', 'Found Family', 'Urban', 'Anthropomorphism', 'Primarily Female Cast', 'Tragedy', 'Hikikomori', 'Rehabilitation', 'Ojou-sama', 'School', 'Tsundere', 'Kuudere', 'Super Power']",TV,FINISHED,12.0,"['Action', 'Comedy', 'Drama']",13450,72.0,JP,MANGA,Nomad,17.0
Azumanga Daioh,4-2002,10-2002,SPRING,2002.0,"['School', 'Primarily Female Cast', 'Episodic', 'Surreal Comedy', 'Slapstick', 'Cute Girls Doing Cute Things', 'Ensemble Cast', 'Coming of Age', 'Female Protagonist', 'Primarily Teen Cast', 'Teacher', 'Shounen', 'Tomboy', 'Kuudere', 'Iyashikei', 'Basketball']",TV,FINISHED,26.0,"['Comedy', 'Slice of Life']",66262,78.0,JP,MANGA,J.C. Staff,359.0
Basilisk,4-2005,9-2005,SPRING,2005.0,"['Ninja', 'Seinen', 'Historical', 'Primarily Adult Cast', 'Swordplay', 'Tragedy', 'Heterosexual', 'Rape', 'Gore']",TV,FINISHED,24.0,"['Action', 'Adventure', 'Drama', 'Romance']",24259,71.0,JP,MANGA,GONZO,20.0
Black Cat,10-2005,3-2006,FALL,2005.0,"['Tragedy', 'Shounen', 'Super Power', 'Revenge', 'Assassins', 'Guns', 'Primarily Adult Cast', 'Male Protagonist', 'Kuudere']",TV,FINISHED,23.0,"['Adventure', 'Comedy', 'Sci-Fi']",32327,69.0,JP,MANGA,GONZO,30.0
CLUSTER EDGE,10-2005,3-2006,FALL,2005.0,"['Primarily Male Cast', 'School', 'Super Power', 'Ensemble Cast', 'Fugitive', 'Religion', 'Memory Manipulation', 'Gods', 'Military', 'Aviation', 'Terrorism', 'War', 'Politics']",TV,FINISHED,25.0,"['Action', 'Fantasy', 'Sci-Fi']",1596,53.0,JP,ORIGINAL,Sunrise,94.0
Full Metal Panic!,1-2002,6-2002,WINTER,2002.0,"['Military', 'Guns', 'Real Robot', 'Heterosexual', 'Love Triangle', 'School', 'Male Protagonist', 'Super Power', 'War', 'Terrorism', 'Politics', 'Work', 'Ensemble Cast', 'Artificial Intelligence', 'Ships', 'Slapstick', 'Alternate Universe']",TV,FINISHED,24.0,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",70084,72.0,JP,LIGHT_NOVEL,GONZO,10.0
Full Metal Panic? Fumoffu,8-2003,10-2003,SUMMER,2003.0,"['Slapstick', 'School', 'Tsundere', 'Surreal Comedy', 'Parody', 'Guns', 'Military', 'Delinquents', 'Crime', 'Female Protagonist', 'Episodic', 'Male Protagonist']",TV,FINISHED,12.0,"['Action', 'Comedy', 'Romance']",35543,77.0,JP,LIGHT_NOVEL,Kyoto Animation,418.0
Full Metal Panic! The Second Raid,7-2005,10-2005,SUMMER,2005.0,"['Military', 'Guns', 'Real Robot', 'Nudity', 'Heterosexual', 'Foreign', 'School', 'Swordplay', 'Kuudere', 'Tsundere']",TV,FINISHED,13.0,"['Action', 'Mecha', 'Sci-Fi']",32675,76.0,JP,LIGHT_NOVEL,Kyoto Animation,479.0
Gakuen Alice,10-2004,5-2005,FALL,2004.0,"['Super Power', 'Shoujo', 'School', 'Female Protagonist', 'Primarily Child Cast', 'Love Triangle', 'Magic', 'Kuudere']",TV,FINISHED,26.0,"['Comedy', 'Drama', 'Fantasy', 'Supernatural']",13681,72.0,JP,MANGA,Aniplex,14.0
Fafner,7-2004,12-2004,SUMMER,2004.0,"['Philosophy', 'Ensemble Cast', 'Post-Apocalyptic', 'Real Robot', 'Aliens', 'Tragedy', 'War', 'Robots', 'Male Protagonist', 'Cosmic Horror', 'Military', 'Kuudere', 'Dystopian']",TV,FINISHED,25.0,"['Drama', 'Mecha', 'Sci-Fi']",10133,68.0,JP,ORIGINAL,Xebec,34.0
Magical Girl Lyrical Nanoha,10-2004,12-2004,FALL,2004.0,"['Magic', 'Super Power', 'Female Protagonist', 'Urban Fantasy', 'Henshin', 'Primarily Female Cast', 'Primarily Child Cast', 'Shapeshifting', 'Space', 'Animals', 'Lost Civilization', 'Clone', 'Kuudere', 'Nudity']",TV,FINISHED,13.0,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']",21414,71.0,JP,ORIGINAL,Seven Arcs,18.0
Magical Girl Lyrical Nanoha A's,10-2005,12-2005,FALL,2005.0,"['Magic', 'Female Protagonist', 'Henshin', 'Urban Fantasy', 'Primarily Female Cast', 'Super Power', 'Military', 'Primarily Child Cast', 'Reincarnation', 'Kuudere', 'Tragedy', 'Ships', 'Politics', 'Adoption']",TV,FINISHED,13.0,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo']",12390,77.0,JP,ORIGINAL,Seven Arcs,400.0
SHUFFLE!,7-2005,1-2006,SUMMER,2005.0,"['Female Harem', 'Demons', 'Heterosexual', 'Gods', 'School', 'Yandere', 'Primarily Female Cast', 'Magic', 'Dissociative Identities', 'Nudity', 'Kuudere', 'Male Protagonist']",TV,FINISHED,24.0,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Romance']",36316,64.0,JP,VISUAL_NOVEL,Xebec,55.0
Mobile Suit Gundam,4-1979,1-1980,SPRING,1979.0,"['War', 'Military', 'Real Robot', 'Space', 'Space Opera', 'Travel', 'Politics', 'Conspiracy', 'Primarily Teen Cast', 'Tragedy', 'Coming of Age', 'Male Protagonist', 'Ensemble Cast', 'Super Power', 'Revenge', 'Guns', 'Anti-Hero', 'Love Triangle', 'Desert', 'Environmental', 'Time Manipulation']",TV,FINISHED,43.0,"['Drama', 'Mecha', 'Sci-Fi']",31344,75.0,JP,ORIGINAL,Sunrise,0.0
Mobile Suit Gundam: The 08th MS Team,1-1996,7-1999,WINTER,1996.0,"['War', 'Military', 'Real Robot', 'Male Protagonist', 'Politics', 'Primarily Adult Cast', 'Heterosexual', 'Love Triangle', 'Space', 'Nudity']",OVA,FINISHED,12.0,"['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",16888,76.0,JP,ORIGINAL,Sunrise,69.0
Mobile Suit Gundam 0080: War in the Pocket,3-1989,8-1989,SPRING,1989.0,"['War', 'Military', 'Tragedy', 'Male Protagonist', 'Real Robot', 'Urban', 'Espionage', 'Space', 'Primarily Male Cast']",OVA,FINISHED,6.0,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",15458,79.0,JP,ORIGINAL,Sunrise,27.0
Mobile Suit Gundam: The 08th MS Team - Miller's Report,8-1998,8-1998,SUMMER,1998.0,"['Real Robot', 'Military']",MOVIE,FINISHED,1.0,"['Drama', 'Mecha', 'Sci-Fi']",2879,63.0,JP,ORIGINAL,Sunrise,9.0
Mobile Suit Gundam 0083: Stardust Memory,5-1991,9-1992,SPRING,1991.0,"['Space', 'Military', 'Heterosexual', 'Real Robot', 'Primarily Adult Cast', 'Space Opera']",OVA,FINISHED,13.0,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",10418,66.0,JP,ORIGINAL,Sunrise,2.0
